,house_lat,house_long,distance (m),duration (s),travel_mode
75,41.20441494400505,-8.713358515794797,12315,9651,walking
76,41.20441494400505,-8.713358515794797,11586,8939,walking
77,41.20441494400505,-8.713358515794797,9505,7325,walking
78,41.20441494400505,-8.713358515794797,14225,10956,walking
79,41.20441494400505,-8.713358515794797,12339,9488,walking
80,41.20441494400505,-8.713358515794797,13042,10033,walking
81,41.20441494400505,-8.713358515794797,12336,9443,walking
82,41.20441494400505,-8.713358515794797,13050,10058,walking
83,41.20441494400505,-8.713358515794797,11874,9112,walking
84,41.20441494400505,-8.713358515794797,12873,9961,walking
85,41.1404185646118,-8.613805075155247,1807,1630,walking
86,41.1404185646118,-8.613805075155247,3469,2928,walking
87,41.1404185646118,-8.613805075155247,2091,1573,walking
88,41.1404185646118,-8.613805075155247,2827,2356,walking
89,41.1404185646118,-8.613805075155247,2837,2289,walking
90,41.1404185646118,-8.613805075155247,5117,4012,walking
91,41.1404185646118,-8.613805075155247,3362,2888,walking
92,41.1404185646118,-8.613805075155247,2210,2001,walking
93,41.1404185646118,-8.613805075155247,3445,2907,walking
94,41.1404185646118,-8.613805075155247,2987,2391,walking
95,41.1404185646118,-8.613805075155247,3109,2495,walking
96,41.1404185646118,-8.613805075155247,1400,1260,walking
97,41.1404185646118,-8.613805075155247,1475,1300,walking
98,41.1404185646118,-8.613805075155247,1112,1000,walking
99,41.1404185646118,-8.613805075155247,4091,3405,walking
100,41.1404185646118,-8.613805075155247,1400,1288,walking
101,41.1404185646118,-8.613805075155247,3540,3025,walking
102,41.140582894587105,-8.614647448494276,1715,1559,walking
103,41.140582894587105,-8.614647448494276,3377,2856,walking
104,41.140582894587105,-8.614647448494276,2044,1532,walking
105,41.140582894587105,-8.614647448494276,2735,2284,walking
106,41.140582894587105,-8.614647448494276,2776,2244,walking
107,41.140582894587105,-8.614647448494276,5025,3941,walking
108,41.140582894587105,-8.614647448494276,3270,2816,walking
109,41.140582894587105,-8.614647448494276,2118,1929,walking
110,41.140582894587105,-8.614647448494276,3353,2836,walking
111,41.140582894587105,-8.614647448494276,2940,2349,walking
112,41.140582894587105,-8.614647448494276,3048,2450,walking
113,41.140582894587105,-8.614647448494276,1308,1189,walking
114,41.140582894587105,-8.614647448494276,1415,1255,walking
115,41.140582894587105,-8.614647448494276,1020,928,walking
