,house_lat,house_long,distance (m),duration (s),travel_mode
17,41.1427507,-8.6125743,1635,628,bicycling
18,41.1427507,-8.6125743,1523,588,bicycling
19,41.1427507,-8.6125743,838,442,bicycling
20,41.1427507,-8.6125743,1066,527,bicycling
21,41.1427507,-8.6125743,1869,565,bicycling
22,41.1427507,-8.6125743,173,82,bicycling
23,41.1427507,-8.6125743,3099,1039,bicycling
24,41.1427507,-8.6125743,1933,700,bicycling
25,41.1427507,-8.6125743,2875,807,bicycling
26,41.1427507,-8.6125743,3425,1191,bicycling
27,41.1427507,-8.6125743,3601,1044,bicycling
28,41.150854229226546,-8.61149108574201,1217,355,bicycling
29,41.150854229226546,-8.61149108574201,905,254,bicycling
30,41.150854229226546,-8.61149108574201,1162,394,bicycling
31,41.150854229226546,-8.61149108574201,980,234,bicycling
32,41.150854229226546,-8.61149108574201,59,19,bicycling
33,41.150854229226546,-8.61149108574201,583,163,bicycling
34,41.150854229226546,-8.61149108574201,734,195,bicycling
35,41.150854229226546,-8.61149108574201,1923,603,bicycling
36,41.150854229226546,-8.61149108574201,1116,309,bicycling
37,41.150854229226546,-8.61149108574201,3158,979,bicycling
38,41.150854229226546,-8.61149108574201,1992,641,bicycling
39,41.150854229226546,-8.61149108574201,1355,360,bicycling
40,41.150854229226546,-8.61149108574201,3127,1046,bicycling
41,41.150854229226546,-8.61149108574201,2627,649,bicycling
42,41.16082365636554,-8.712886583743412,16177,3563,bicycling
43,41.16082365636554,-8.712886583743412,13545,2913,bicycling
44,41.16082365636554,-8.712886583743412,15130,3216,bicycling
45,41.16082365636554,-8.712886583743412,13434,2861,bicycling
46,41.16082365636554,-8.712886583743412,13988,3090,bicycling
47,41.16082365636554,-8.712886583743412,15358,3341,bicycling
48,41.16082365636554,-8.712886583743412,14292,3178,bicycling
49,41.16082365636554,-8.712886583743412,16789,3578,bicycling
50,41.16082365636554,-8.712886583743412,15057,3155,bicycling
51,41.16082365636554,-8.712886583743412,15669,3634,bicycling
52,41.16082365636554,-8.712886583743412,16853,3725,bicycling
53,41.16082365636554,-8.712886583743412,13770,2937,bicycling
54,41.16082365636554,-8.712886583743412,15877,3620,bicycling
55,41.16082365636554,-8.712886583743412,12240,2668,bicycling
56,41.20441494400505,-8.713358515794797,15995,3527,bicycling
57,41.20441494400505,-8.713358515794797,13363,2877,bicycling
58,41.20441494400505,-8.713358515794797,14948,3181,bicycling
