,house_lat,house_long,distance (m),duration (s),travel_mode
60,41.140582894587105,-8.614647448494276,2622,2176,walking
61,41.140582894587105,-8.614647448494276,455,506,walking
62,41.140582894587105,-8.614647448494276,1316,1174,walking
63,41.140582894587105,-8.614647448494276,12654,9462,walking
64,41.140582894587105,-8.614647448494276,12343,9253,walking
65,41.140582894587105,-8.614647448494276,92,65,walking
66,41.140582894587105,-8.614647448494276,0,0,walking
67,41.140582894587105,-8.614647448494276,245,220,walking
68,41.140582894587105,-8.614647448494276,269,254,walking
69,41.140582894587105,-8.614647448494276,223,202,walking
70,41.142145919582674,-8.61374925523519,2485,2037,walking
71,41.142145919582674,-8.61374925523519,281,339,walking
72,41.142145919582674,-8.61374925523519,1142,1007,walking
73,41.142145919582674,-8.61374925523519,12729,9548,walking
74,41.142145919582674,-8.61374925523519,12418,9339,walking
75,41.142145919582674,-8.61374925523519,337,252,walking
76,41.142145919582674,-8.61374925523519,245,187,walking
77,41.142145919582674,-8.61374925523519,0,0,walking
78,41.142145919582674,-8.61374925523519,183,171,walking
79,41.142145919582674,-8.61374925523519,137,119,walking
80,41.14214101346732,-8.613394163295458,2512,2066,walking
81,41.14214101346732,-8.613394163295458,237,299,walking
82,41.14214101346732,-8.613394163295458,1169,1034,walking
83,41.14214101346732,-8.613394163295458,12756,9577,walking
84,41.14214101346732,-8.613394163295458,12445,9368,walking
85,41.14214101346732,-8.613394163295458,361,282,walking
86,41.14214101346732,-8.613394163295458,269,217,walking
87,41.14214101346732,-8.613394163295458,183,167,walking
88,41.14214101346732,-8.613394163295458,0,0,walking
89,41.14214101346732,-8.613394163295458,46,37,walking
90,41.141764839822955,-8.613161057563643,2558,2118,walking
91,41.141764839822955,-8.613161057563643,283,351,walking
92,41.141764839822955,-8.613161057563643,1215,1086,walking
93,41.141764839822955,-8.613161057563643,12784,9558,walking
94,41.141764839822955,-8.613161057563643,12473,9348,walking
95,41.141764839822955,-8.613161057563643,315,245,walking
96,41.141764839822955,-8.613161057563643,223,180,walking
97,41.141764839822955,-8.613161057563643,137,129,walking
98,41.141764839822955,-8.613161057563643,46,52,walking
99,41.141764839822955,-8.613161057563643,0,0,walking
0,41.1564238,-8.6249723,0,0,bicycling
1,41.1564238,-8.6249723,2985,889,bicycling
2,41.1564238,-8.6249723,1693,494,bicycling
3,41.1564238,-8.6249723,12039,2226,bicycling
4,41.1564238,-8.6249723,11997,2195,bicycling
5,41.1564238,-8.6249723,4020,913,bicycling
6,41.1564238,-8.6249723,3973,916,bicycling
7,41.1564238,-8.6249723,3028,831,bicycling
8,41.1564238,-8.6249723,3137,878,bicycling
9,41.1564238,-8.6249723,3183,920,bicycling
10,41.1427507,-8.6125743,3087,1019,bicycling
11,41.1427507,-8.6125743,0,0,bicycling
12,41.1427507,-8.6125743,1465,569,bicycling
13,41.1427507,-8.6125743,15249,2980,bicycling
14,41.1427507,-8.6125743,15208,2949,bicycling
15,41.1427507,-8.6125743,894,240,bicycling
16,41.1427507,-8.6125743,802,223,bicycling
17,41.1427507,-8.6125743,628,196,bicycling
18,41.1427507,-8.6125743,471,190,bicycling
19,41.1427507,-8.6125743,517,232,bicycling
20,41.150854229226546,-8.61149108574201,1699,645,bicycling
21,41.150854229226546,-8.61149108574201,1292,395,bicycling
22,41.150854229226546,-8.61149108574201,0,0,bicycling
23,41.150854229226546,-8.61149108574201,13508,2659,bicycling
24,41.150854229226546,-8.61149108574201,13467,2628,bicycling
25,41.150854229226546,-8.61149108574201,1600,380,bicycling
26,41.150854229226546,-8.61149108574201,1508,363,bicycling
27,41.150854229226546,-8.61149108574201,1334,337,bicycling
28,41.150854229226546,-8.61149108574201,1443,383,bicycling
