,house_lat,house_long,distance (m),duration (s),travel_mode
70,41.16082365636554,-8.712886583743412,8583,6577,walking
71,41.16082365636554,-8.712886583743412,8800,6758,walking
72,41.16082365636554,-8.712886583743412,8712,6672,walking
73,41.16082365636554,-8.712886583743412,8788,6726,walking
74,41.16082365636554,-8.712886583743412,9369,7226,walking
75,41.16082365636554,-8.712886583743412,10396,8010,walking
76,41.16082365636554,-8.712886583743412,12535,9669,walking
77,41.16082365636554,-8.712886583743412,11904,9180,walking
78,41.16082365636554,-8.712886583743412,8821,6794,walking
79,41.16082365636554,-8.712886583743412,13275,10210,walking
80,41.20441494400505,-8.713358515794797,12943,9946,walking
81,41.20441494400505,-8.713358515794797,10876,8328,walking
82,41.20441494400505,-8.713358515794797,11175,8599,walking
83,41.20441494400505,-8.713358515794797,8601,6597,walking
84,41.20441494400505,-8.713358515794797,12919,9900,walking
85,41.20441494400505,-8.713358515794797,11853,9144,walking
86,41.20441494400505,-8.713358515794797,8356,6376,walking
87,41.20441494400505,-8.713358515794797,9285,7135,walking
88,41.20441494400505,-8.713358515794797,8500,6507,walking
89,41.20441494400505,-8.713358515794797,11960,9226,walking
90,41.20441494400505,-8.713358515794797,8272,6314,walking
91,41.20441494400505,-8.713358515794797,8489,6495,walking
92,41.20441494400505,-8.713358515794797,8401,6409,walking
93,41.20441494400505,-8.713358515794797,8477,6464,walking
94,41.20441494400505,-8.713358515794797,9057,6963,walking
95,41.20441494400505,-8.713358515794797,10085,7747,walking
96,41.20441494400505,-8.713358515794797,12224,9407,walking
97,41.20441494400505,-8.713358515794797,11593,8917,walking
98,41.20441494400505,-8.713358515794797,8510,6531,walking
99,41.20441494400505,-8.713358515794797,12964,9947,walking
100,41.1404185646118,-8.613805075155247,1093,1011,walking
101,41.1404185646118,-8.613805075155247,1855,1551,walking
102,41.1404185646118,-8.613805075155247,1628,1371,walking
103,41.1404185646118,-8.613805075155247,4150,3292,walking
104,41.1404185646118,-8.613805075155247,806,833,walking
105,41.1404185646118,-8.613805075155247,1071,1010,walking
106,41.1404185646118,-8.613805075155247,5053,3953,walking
107,41.1404185646118,-8.613805075155247,3362,2740,walking
108,41.1404185646118,-8.613805075155247,4147,3293,walking
109,41.1404185646118,-8.613805075155247,1222,1126,walking
110,41.1404185646118,-8.613805075155247,4821,3779,walking
111,41.1404185646118,-8.613805075155247,4837,3795,walking
112,41.1404185646118,-8.613805075155247,5032,3936,walking
113,41.1404185646118,-8.613805075155247,4952,3877,walking
114,41.1404185646118,-8.613805075155247,3589,2902,walking
115,41.1404185646118,-8.613805075155247,3207,2648,walking
116,41.1404185646118,-8.613805075155247,1414,1276,walking
117,41.1404185646118,-8.613805075155247,1096,971,walking
118,41.1404185646118,-8.613805075155247,4289,3393,walking
119,41.1404185646118,-8.613805075155247,929,850,walking
120,41.140582894587105,-8.614647448494276,1048,996,walking
121,41.140582894587105,-8.614647448494276,1763,1480,walking
122,41.140582894587105,-8.614647448494276,1580,1330,walking
123,41.140582894587105,-8.614647448494276,4058,3220,walking
124,41.140582894587105,-8.614647448494276,745,789,walking
125,41.140582894587105,-8.614647448494276,979,939,walking
126,41.140582894587105,-8.614647448494276,4961,3882,walking
127,41.140582894587105,-8.614647448494276,3270,2668,walking
128,41.140582894587105,-8.614647448494276,4055,3221,walking
129,41.140582894587105,-8.614647448494276,1130,1054,walking
130,41.140582894587105,-8.614647448494276,4729,3707,walking
131,41.140582894587105,-8.614647448494276,4745,3723,walking
132,41.140582894587105,-8.614647448494276,4940,3865,walking
133,41.140582894587105,-8.614647448494276,4860,3806,walking
134,41.140582894587105,-8.614647448494276,3497,2830,walking
135,41.140582894587105,-8.614647448494276,3115,2576,walking
136,41.140582894587105,-8.614647448494276,1322,1205,walking
137,41.140582894587105,-8.614647448494276,1004,899,walking
138,41.140582894587105,-8.614647448494276,4197,3322,walking
139,41.140582894587105,-8.614647448494276,868,805,walking
140,41.142145919582674,-8.61374925523519,875,829,walking
141,41.142145919582674,-8.61374925523519,1626,1341,walking
142,41.142145919582674,-8.61374925523519,1430,1206,walking
143,41.142145919582674,-8.61374925523519,3921,3081,walking
144,41.142145919582674,-8.61374925523519,599,574,walking
145,41.142145919582674,-8.61374925523519,786,789,walking
146,41.142145919582674,-8.61374925523519,4824,3743,walking
147,41.142145919582674,-8.61374925523519,3133,2529,walking
148,41.142145919582674,-8.61374925523519,3917,3082,walking
149,41.142145919582674,-8.61374925523519,937,904,walking
150,41.142145919582674,-8.61374925523519,4591,3568,walking
