index,house_lat,house_long,distance (m),duration (s),travel_mode
132,41.140582894587105,-8.614647448494276,2561,2144,walking
133,41.140582894587105,-8.614647448494276,2510,2117,walking
134,41.140582894587105,-8.614647448494276,1422,1283,walking
135,41.140582894587105,-8.614647448494276,1894,1680,walking
136,41.140582894587105,-8.614647448494276,2239,1891,walking
137,41.140582894587105,-8.614647448494276,3984,3278,walking
138,41.140582894587105,-8.614647448494276,3129,2503,walking
139,41.140582894587105,-8.614647448494276,670,624,walking
140,41.140582894587105,-8.614647448494276,1052,949,walking
141,41.140582894587105,-8.614647448494276,2054,1853,walking
142,41.140582894587105,-8.614647448494276,2609,2332,walking
143,41.140582894587105,-8.614647448494276,4286,3561,walking
144,41.140582894587105,-8.614647448494276,3244,2800,walking
145,41.140582894587105,-8.614647448494276,3882,3242,walking
146,41.140582894587105,-8.614647448494276,3019,2500,walking
147,41.142145919582674,-8.61374925523519,670,647,walking
148,41.142145919582674,-8.61374925523519,529,436,walking
149,41.142145919582674,-8.61374925523519,3792,3024,walking
150,41.142145919582674,-8.61374925523519,4923,3835,walking
151,41.142145919582674,-8.61374925523519,1364,1196,walking
152,41.142145919582674,-8.61374925523519,2955,2417,walking
153,41.142145919582674,-8.61374925523519,2424,2005,walking
154,41.142145919582674,-8.61374925523519,2336,1950,walking
155,41.142145919582674,-8.61374925523519,1248,1116,walking
156,41.142145919582674,-8.61374925523519,1720,1513,walking
157,41.142145919582674,-8.61374925523519,2148,1819,walking
158,41.142145919582674,-8.61374925523519,3810,3111,walking
159,41.142145919582674,-8.61374925523519,3037,2431,walking
160,41.142145919582674,-8.61374925523519,497,457,walking
161,41.142145919582674,-8.61374925523519,878,782,walking
162,41.142145919582674,-8.61374925523519,1881,1686,walking
163,41.142145919582674,-8.61374925523519,2436,2165,walking
164,41.142145919582674,-8.61374925523519,4113,3394,walking
165,41.142145919582674,-8.61374925523519,3071,2633,walking
166,41.142145919582674,-8.61374925523519,3708,3075,walking
167,41.142145919582674,-8.61374925523519,2882,2361,walking
168,41.14214101346732,-8.613394163295458,625,607,walking
169,41.14214101346732,-8.613394163295458,485,410,walking
170,41.14214101346732,-8.613394163295458,3819,3053,walking
171,41.14214101346732,-8.613394163295458,4950,3864,walking
172,41.14214101346732,-8.613394163295458,1391,1223,walking
173,41.14214101346732,-8.613394163295458,2982,2446,walking
174,41.14214101346732,-8.613394163295458,2451,2034,walking
175,41.14214101346732,-8.613394163295458,2363,1977,walking
176,41.14214101346732,-8.613394163295458,1275,1143,walking
177,41.14214101346732,-8.613394163295458,1703,1489,walking
178,41.14214101346732,-8.613394163295458,2090,1756,walking
179,41.14214101346732,-8.613394163295458,3793,3087,walking
180,41.14214101346732,-8.613394163295458,2979,2368,walking
181,41.14214101346732,-8.613394163295458,524,484,walking
182,41.14214101346732,-8.613394163295458,905,809,walking
183,41.14214101346732,-8.613394163295458,1908,1713,walking
184,41.14214101346732,-8.613394163295458,2463,2192,walking
185,41.14214101346732,-8.613394163295458,4140,3421,walking
186,41.14214101346732,-8.613394163295458,3098,2660,walking
187,41.14214101346732,-8.613394163295458,3735,3102,walking
188,41.14214101346732,-8.613394163295458,2909,2390,walking
189,41.141764839822955,-8.613161057563643,671,659,walking
190,41.141764839822955,-8.613161057563643,439,373,walking
191,41.141764839822955,-8.613161057563643,3865,3105,walking
192,41.141764839822955,-8.613161057563643,4996,3916,walking
193,41.141764839822955,-8.613161057563643,1437,1276,walking
194,41.141764839822955,-8.613161057563643,3029,2498,walking
195,41.141764839822955,-8.613161057563643,2497,2087,walking
196,41.141764839822955,-8.613161057563643,2409,2029,walking
197,41.141764839822955,-8.613161057563643,1321,1195,walking
198,41.141764839822955,-8.613161057563643,1749,1542,walking
199,41.141764839822955,-8.613161057563643,2136,1809,walking
200,41.141764839822955,-8.613161057563643,3839,3140,walking
201,41.141764839822955,-8.613161057563643,3025,2421,walking
202,41.141764839822955,-8.613161057563643,570,536,walking
203,41.141764839822955,-8.613161057563643,951,862,walking
204,41.141764839822955,-8.613161057563643,1954,1765,walking
205,41.141764839822955,-8.613161057563643,2509,2244,walking
206,41.141764839822955,-8.613161057563643,4186,3473,walking
207,41.141764839822955,-8.613161057563643,3144,2712,walking
208,41.141764839822955,-8.613161057563643,3782,3155,walking
209,41.141764839822955,-8.613161057563643,2955,2442,walking
0,41.1564238,-8.6249723,3462,904,bicycling
1,41.1564238,-8.6249723,4391,1037,bicycling
2,41.1564238,-8.6249723,2082,592,bicycling
3,41.1564238,-8.6249723,3493,858,bicycling
4,41.1564238,-8.6249723,1770,610,bicycling
5,41.1564238,-8.6249723,760,264,bicycling
6,41.1564238,-8.6249723,769,323,bicycling
7,41.1564238,-8.6249723,1095,429,bicycling
8,41.1564238,-8.6249723,2414,646,bicycling
9,41.1564238,-8.6249723,3080,922,bicycling
10,41.1564238,-8.6249723,3699,1017,bicycling
11,41.1564238,-8.6249723,4710,1357,bicycling
12,41.1564238,-8.6249723,4588,1114,bicycling
13,41.1564238,-8.6249723,2605,724,bicycling
14,41.1564238,-8.6249723,2115,579,bicycling
15,41.1564238,-8.6249723,1968,688,bicycling
16,41.1564238,-8.6249723,2355,802,bicycling
17,41.1564238,-8.6249723,3778,1165,bicycling
18,41.1564238,-8.6249723,3108,1003,bicycling
19,41.1564238,-8.6249723,3726,1092,bicycling
20,41.1564238,-8.6249723,685,245,bicycling
21,41.1427507,-8.6125743,426,209,bicycling
22,41.1427507,-8.6125743,543,296,bicycling
23,41.1427507,-8.6125743,4940,1399,bicycling
24,41.1427507,-8.6125743,6351,1665,bicycling
25,41.1427507,-8.6125743,1566,573,bicycling
26,41.1427507,-8.6125743,3618,1071,bicycling
27,41.1427507,-8.6125743,2921,1043,bicycling
28,41.1427507,-8.6125743,3004,972,bicycling
29,41.1427507,-8.6125743,1133,461,bicycling
30,41.1427507,-8.6125743,1563,637,bicycling
31,41.1427507,-8.6125743,1960,602,bicycling
32,41.1427507,-8.6125743,3811,1134,bicycling
33,41.1427507,-8.6125743,2849,700,bicycling
34,41.1427507,-8.6125743,499,188,bicycling
35,41.1427507,-8.6125743,1091,417,bicycling
36,41.1427507,-8.6125743,2354,891,bicycling
37,41.1427507,-8.6125743,2446,1017,bicycling
38,41.1427507,-8.6125743,4733,1428,bicycling
39,41.1427507,-8.6125743,3311,1196,bicycling
40,41.1427507,-8.6125743,3817,1306,bicycling
41,41.1427507,-8.6125743,3543,1052,bicycling
42,41.150854229226546,-8.61149108574201,1256,423,bicycling
