,house_lat,house_long,distance (m),duration (s),travel_mode
19,41.20441494400505,-8.713358515794797,16575,3769,bicycling
20,41.1404185646118,-8.613805075155247,3708,1304,bicycling
21,41.1404185646118,-8.613805075155247,4119,1115,bicycling
22,41.1404185646118,-8.613805075155247,1570,815,bicycling
23,41.1404185646118,-8.613805075155247,4439,1439,bicycling
24,41.140582894587105,-8.614647448494276,3660,1292,bicycling
25,41.140582894587105,-8.614647448494276,4072,1103,bicycling
26,41.140582894587105,-8.614647448494276,1478,787,bicycling
27,41.140582894587105,-8.614647448494276,4379,1426,bicycling
28,41.142145919582674,-8.61374925523519,3039,1101,bicycling
29,41.142145919582674,-8.61374925523519,4286,1099,bicycling
30,41.142145919582674,-8.61374925523519,1297,620,bicycling
31,41.142145919582674,-8.61374925523519,4268,1373,bicycling
32,41.14214101346732,-8.613394163295458,3066,1112,bicycling
33,41.14214101346732,-8.613394163295458,4342,1114,bicycling
34,41.14214101346732,-8.613394163295458,1324,631,bicycling
35,41.14214101346732,-8.613394163295458,4295,1384,bicycling
36,41.141764839822955,-8.613161057563643,3791,1274,bicycling
37,41.141764839822955,-8.613161057563643,4202,1085,bicycling
38,41.141764839822955,-8.613161057563643,1371,666,bicycling
39,41.141764839822955,-8.613161057563643,4341,1419,bicycling
0,41.1564238,-8.6249723,764,162,driving
1,41.1564238,-8.6249723,2584,458,driving
2,41.1564238,-8.6249723,2725,518,driving
3,41.1564238,-8.6249723,8248,799,driving
4,41.1427507,-8.6125743,3964,739,driving
5,41.1427507,-8.6125743,3976,665,driving
6,41.1427507,-8.6125743,1339,372,driving
7,41.1427507,-8.6125743,4469,796,driving
8,41.150854229226546,-8.61149108574201,2366,480,driving
9,41.150854229226546,-8.61149108574201,3407,663,driving
10,41.150854229226546,-8.61149108574201,2303,534,driving
11,41.150854229226546,-8.61149108574201,7826,815,driving
12,41.16082365636554,-8.712886583743412,11325,1300,driving
13,41.16082365636554,-8.712886583743412,11602,1228,driving
14,41.16082365636554,-8.712886583743412,14032,1813,driving
15,41.16082365636554,-8.712886583743412,17523,1462,driving
16,41.20441494400505,-8.713358515794797,11331,946,driving
17,41.20441494400505,-8.713358515794797,11608,875,driving
18,41.20441494400505,-8.713358515794797,14038,1460,driving
19,41.20441494400505,-8.713358515794797,17528,1109,driving
20,41.1404185646118,-8.613805075155247,3727,678,driving
21,41.1404185646118,-8.613805075155247,3739,604,driving
22,41.1404185646118,-8.613805075155247,1794,534,driving
23,41.1404185646118,-8.613805075155247,4923,959,driving
24,41.140582894587105,-8.614647448494276,3645,647,driving
25,41.140582894587105,-8.614647448494276,3657,573,driving
26,41.140582894587105,-8.614647448494276,1711,503,driving
27,41.140582894587105,-8.614647448494276,4841,928,driving
28,41.142145919582674,-8.61374925523519,3893,711,driving
29,41.142145919582674,-8.61374925523519,3906,637,driving
30,41.142145919582674,-8.61374925523519,1297,341,driving
31,41.142145919582674,-8.61374925523519,4427,766,driving
32,41.14214101346732,-8.613394163295458,3949,725,driving
33,41.14214101346732,-8.613394163295458,3961,650,driving
34,41.14214101346732,-8.613394163295458,1324,357,driving
35,41.14214101346732,-8.613394163295458,4454,782,driving
36,41.141764839822955,-8.613161057563643,3995,737,driving
37,41.141764839822955,-8.613161057563643,4007,663,driving
38,41.141764839822955,-8.613161057563643,1371,370,driving
39,41.141764839822955,-8.613161057563643,4500,794,driving
0,41.1564238,-8.6249723,464,390,transit
1,41.1564238,-8.6249723,1960,759,transit
2,41.1564238,-8.6249723,2625,914,transit
3,41.1564238,-8.6249723,5678,1260,transit
4,41.1427507,-8.6125743,3676,1495,transit
5,41.1427507,-8.6125743,4552,1408,transit
6,41.1427507,-8.6125743,1582,759,transit
7,41.1427507,-8.6125743,4394,1724,transit
8,41.150854229226546,-8.61149108574201,3052,912,transit
9,41.150854229226546,-8.61149108574201,3498,982,transit
10,41.150854229226546,-8.61149108574201,1056,471,transit
11,41.150854229226546,-8.61149108574201,4141,929,transit
12,41.20441494400505,-8.713358515794797,15601,3584,transit
13,41.20441494400505,-8.713358515794797,12254,3225,transit
14,41.20441494400505,-8.713358515794797,14077,3943,transit
15,41.20441494400505,-8.713358515794797,15955,4474,transit
16,41.1404185646118,-8.613805075155247,3798,1694,transit
17,41.1404185646118,-8.613805075155247,3991,1648,transit
18,41.1404185646118,-8.613805075155247,2391,1281,transit
19,41.1404185646118,-8.613805075155247,5086,2564,transit
20,41.140582894587105,-8.614647448494276,3323,1817,transit
21,41.140582894587105,-8.614647448494276,3900,1577,transit
22,41.140582894587105,-8.614647448494276,2371,1146,transit
23,41.140582894587105,-8.614647448494276,5551,2310,transit
24,41.142145919582674,-8.61374925523519,3719,1586,transit
25,41.142145919582674,-8.61374925523519,3707,1427,transit
26,41.142145919582674,-8.61374925523519,2125,990,transit
27,41.142145919582674,-8.61374925523519,5357,2163,transit
28,41.14214101346732,-8.613394163295458,3746,1613,transit
29,41.14214101346732,-8.613394163295458,3700,1452,transit
30,41.14214101346732,-8.613394163295458,2152,1017,transit
31,41.14214101346732,-8.613394163295458,5351,2188,transit
32,41.141764839822955,-8.613161057563643,3553,1550,transit
33,41.141764839822955,-8.613161057563643,3747,1504,transit
34,41.141764839822955,-8.613161057563643,2198,1069,transit
35,41.141764839822955,-8.613161057563643,5397,2240,transit
