index,house_lat,house_long,distance (m),duration (s),travel_mode
46,41.20441494400505,-8.713358515794797,10507,8081,walking
47,41.20441494400505,-8.713358515794797,13076,10042,walking
48,41.20441494400505,-8.713358515794797,11122,8620,walking
49,41.20441494400505,-8.713358515794797,8499,6527,walking
50,41.1404185646118,-8.613805075155247,3635,2892,walking
51,41.1404185646118,-8.613805075155247,1819,1654,walking
52,41.1404185646118,-8.613805075155247,1627,1449,walking
53,41.1404185646118,-8.613805075155247,1441,1292,walking
54,41.1404185646118,-8.613805075155247,3693,2918,walking
55,41.1404185646118,-8.613805075155247,208,174,walking
56,41.1404185646118,-8.613805075155247,2398,1982,walking
57,41.1404185646118,-8.613805075155247,1235,1106,walking
58,41.1404185646118,-8.613805075155247,3376,2878,walking
59,41.1404185646118,-8.613805075155247,4163,3305,walking
60,41.140582894587105,-8.614647448494276,3408,2768,walking
61,41.140582894587105,-8.614647448494276,1727,1583,walking
62,41.140582894587105,-8.614647448494276,1535,1377,walking
63,41.140582894587105,-8.614647448494276,1349,1220,walking
64,41.140582894587105,-8.614647448494276,3645,2876,walking
65,41.140582894587105,-8.614647448494276,116,102,walking
66,41.140582894587105,-8.614647448494276,2306,1911,walking
67,41.140582894587105,-8.614647448494276,1174,1061,walking
68,41.140582894587105,-8.614647448494276,3284,2807,walking
69,41.140582894587105,-8.614647448494276,4071,3233,walking
70,41.142145919582674,-8.61374925523519,3271,2629,walking
71,41.142145919582674,-8.61374925523519,1554,1416,walking
72,41.142145919582674,-8.61374925523519,1361,1210,walking
73,41.142145919582674,-8.61374925523519,1175,1053,walking
74,41.142145919582674,-8.61374925523519,3549,2800,walking
75,41.142145919582674,-8.61374925523519,129,92,walking
76,41.142145919582674,-8.61374925523519,2169,1772,walking
77,41.142145919582674,-8.61374925523519,1083,991,walking
78,41.142145919582674,-8.61374925523519,3110,2640,walking
79,41.142145919582674,-8.61374925523519,3934,3094,walking
80,41.14214101346732,-8.613394163295458,3298,2658,walking
81,41.14214101346732,-8.613394163295458,1581,1443,walking
82,41.14214101346732,-8.613394163295458,1388,1237,walking
83,41.14214101346732,-8.613394163295458,1202,1080,walking
84,41.14214101346732,-8.613394163295458,3576,2829,walking
85,41.14214101346732,-8.613394163295458,154,123,walking
86,41.14214101346732,-8.613394163295458,2196,1801,walking
87,41.14214101346732,-8.613394163295458,1024,926,walking
88,41.14214101346732,-8.613394163295458,3137,2667,walking
89,41.14214101346732,-8.613394163295458,3961,3123,walking
90,41.141764839822955,-8.613161057563643,3344,2710,walking
91,41.141764839822955,-8.613161057563643,1627,1495,walking
92,41.141764839822955,-8.613161057563643,1434,1289,walking
93,41.141764839822955,-8.613161057563643,1248,1132,walking
94,41.141764839822955,-8.613161057563643,3622,2881,walking
95,41.141764839822955,-8.613161057563643,107,86,walking
96,41.141764839822955,-8.613161057563643,2242,1853,walking
97,41.141764839822955,-8.613161057563643,1070,979,walking
98,41.141764839822955,-8.613161057563643,3183,2719,walking
99,41.141764839822955,-8.613161057563643,4007,3175,walking
0,41.1564238,-8.6249723,1265,476,bicycling
1,41.1564238,-8.6249723,2486,865,bicycling
2,41.1564238,-8.6249723,2066,598,bicycling
3,41.1564238,-8.6249723,2516,658,bicycling
4,41.1564238,-8.6249723,1903,469,bicycling
5,41.1564238,-8.6249723,3996,986,bicycling
6,41.1564238,-8.6249723,316,115,bicycling
7,41.1564238,-8.6249723,3313,891,bicycling
8,41.1564238,-8.6249723,1479,698,bicycling
9,41.1564238,-8.6249723,1931,494,bicycling
10,41.1427507,-8.6125743,4674,1236,bicycling
11,41.1427507,-8.6125743,1479,747,bicycling
12,41.1427507,-8.6125743,1593,579,bicycling
13,41.1427507,-8.6125743,1033,427,bicycling
14,41.1427507,-8.6125743,5433,1319,bicycling
15,41.1427507,-8.6125743,825,264,bicycling
16,41.1427507,-8.6125743,3310,991,bicycling
17,41.1427507,-8.6125743,877,363,bicycling
18,41.1427507,-8.6125743,4051,1379,bicycling
